Topic Name (Required),Topic Description (Optional),Topic Type (Optional),Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
Numbers,””,””,“Second”,””,“二”,“Kanji ordinal: にばんめ”,“Nibanme”,””
Numbers,””,””,“Zero”,””,“零”,“Kanji: れい”,“Rei”,””
Numbers,””,””,“Half”,””,“半分”,“Kanji: はんぶん”,“Hanbun”,””
Numbers,””,””,“Many”,””,“多い”,“Kanji: おおい”,“Ōi”,””
Numbers,””,””,“Few”,””,“少ない”,“Kanji: すくない”,“Sukunai”,””
Numbers,””,””,“How many?”,””,“いくつ”,“Question for quantity”,“Ikutsu”,””
Time and Dates,“Words related to telling time, days, months, and seasons.”,“0 – Vocab”,“Now”,””,“今”,“Kanji: いま”,“Ima”,””
Time and Dates,””,””,“Today”,””,“今日”,“Kanji: きょう”,“Kyō”,””
Time and Dates,””,””,“Tomorrow”,””,“明日”,“Kanji: あした”,“Ashita”,””
Time and Dates,””,””,“Yesterday”,””,“昨日”,“Kanji: きのう”,“Kinō”,””
Time and Dates,””,””,“Morning”,””,“朝”,“Kanji: あさ”,“Asa”,””
Time and Dates,””,””,“Evening”,””,“夕方”,“Kanji: ゆうがた”,“Yūgata”,””
Time and Dates,””,””,“Night”,””,“夜”,“Kanji: よる”,“Yoru”,””
Time and Dates,””,””,“Day”,””,“日”,“Kanji: ひ or にち”,“Hi or Nichi”,””
Time and Dates,””,””,“Week”,””,“週”,“Kanji: しゅう”,“Shū”,””
Time and Dates,””,””,“Month”,””,“月”,“Kanji: つき or がつ”,“Tsuki or Gatsu”,””
Time and Dates,””,””,“Year”,””,“年”,“Kanji: とし or ねん”,“Toshi or Nen”,””
Time and Dates,””,””,“Hour / o’clock”,””,“時”,“Kanji: じ”,“Ji”,””
Time and Dates,””,””,“Minute”,””,“分”,“Kanji: ふん or ぷん”,“Fun or Pun”,””
Time and Dates,””,””,“What time?”,””,“何時”,“Question for time”,“Nanji”,””
Time and Dates,””,””,“Monday”,””,“月曜日”,“Kanji: げつようび”,“Getsuyōbi”,””
Time and Dates,””,””,“Sunday”,””,“日曜日”,“Kanji: にちようび”,“Nichiyōbi”,””
Family and People,“Vocabulary for family members and basic people terms.”,“0 – Vocab”,“Person”,””,“人”,“Kanji: ひと”,“Hito”,””
Family and People,””,””,“Father”,””,“父”,“Kanji: ちち”,“Chichi”,””
Family and People,””,””,“Mother”,””,“母”,“Kanji: 母”,“Haha”,””
Family and People,””,””,“Older brother”,””,“兄”,“Kanji: あに”,“Ani”,””
Family and People,””,””,“Older sister”,””,“姉”,“Kanji: あね”,“Ane”,””
Family and People,””,””,“Younger brother”,””,“弟”,“Kanji: おとうと”,“Otōto”,””
Family and People,””,””,“Younger sister”,””,“妹”,“Kanji: いもうと”,“Imōto”,””
Family and People,””,””,“Child”,””,“子”,“Kanji: こ”,“Ko”,””
Family and People,””,””,“Man”,””,“男”,“Kanji: おとこ”,“Otoko”,””
Family and People,””,””,“Woman”,””,“女”,“Kanji: おんな”,“Onna”,””
Family and People,””,””,“Friend”,””,“友達”,“Kanji: ともだち”,“Tomodachi”,””
Family and People,””,””,“Teacher”,””,“先生”,“Kanji: せんせい”,“Sensei”,””
Family and People,””,””,“Student”,””,“学生”,“Kanji: がくせい”,“Gakusei”,””
Family and People,””,””,“Doctor”,””,“医者”,“Kanji: いしゃ”,“Isha”,””
Family and People,””,””,“Baby”,””,“赤ちゃん”,“Kanji: あかちゃん”,“Akachan”,””
Food and Drink,“Basic words for meals, foods, and drinks.”,“0 – Vocab”,“Water”,””,“水”,“Kanji: みず”,“Mizu”,””
Food and Drink,””,””,“Rice”,””,“ご飯”,“Kanji: ごはん or 飯”,“Gohan”,””
Food and Drink,””,””,“Bread”,””,“パン”,“Borrowed word”,“Pan”,””
Food and Drink,””,””,“Breakfast”,””,“朝ごはん”,“Morning meal”,“Asagohan”,””
Food and Drink,””,””,“Lunch”,””,“昼ごはん”,“Day meal”,“Hirugohan”,””
Food and Drink,””,””,“Dinner”,””,“晩ごはん”,“Evening meal”,“Bangohan”,””
Food and Drink,””,””,“Meat”,””,“肉”,“Kanji: にく”,“Niku”,””
Food and Drink,””,””,“Fish”,””,“魚”,“Kanji: さかな”,“Sakana”,””
Food and Drink,””,””,“Fruit”,””,“果物”,“Kanji: くだもの”,“Kudamono”,””
Food and Drink,””,””,“Vegetable”,””,“野菜”,“Kanji: やさい”,“Yasai”,””
Food and Drink,””,””,“Milk”,””,“牛乳”,“Kanji: ぎゅうにゅう”,“Gyūnyū”,””
Food and Drink,””,””,“Tea”,””,“お茶”,“Kanji: おちゃ”,“Ocha”,””
Food and Drink,””,””,“Coffee”,””,“コーヒー”,“Borrowed word”,“Kōhī”,””
Food and Drink,””,””,“Cake”,””,“ケーキ”,“Borrowed word”,“Kēki”,””
Food and Drink,””,””,“Delicious”,””,“おいしい”,“Taste description”,“Oishii”,””
Food and Drink,””,””,“Hungry”,””,“お腹が空いた”,“Feeling”,“Onaka ga suita”,””
Food and Drink,””,””,“Thirsty”,””,“のどが渇いた”,“Feeling”,“Nodo ga kawaita”,””
Food and Drink,””,””,“Eat”,””,“食べる”,“Verb”,“Taberu”,””
Food and Drink,””,””,“Drink”,””,“飲む”,“Verb”,“Nomu”,””
Directions and Locations,“Words for places, directions, and navigation.”,“0 – Vocab”,“Here”,””,“ここ”,“Proximal place”,“Koko”,””
Directions and Locations,””,””,“There (near you)”,””,“そこ”,“Medial place”,“Soko”,””
Directions and Locations,””,””,“Over there”,””,“あそこ”,“Distal place”,“Asoko”,””
Directions and Locations,””,””,“Where?”,””,“どこ”,“Question for place”,“Doko”,””
Directions and Locations,””,””,“East”,””,“東”,“Kanji: ひがし”,“Higashi”,””
Directions and Locations,””,””,“West”,””,“西”,“Kanji: にし”,“Nishi”,””
Directions and Locations,””,””,“South”,””,“南”,“Kanji: みなみ”,“Minami”,””
Directions and Locations,””,””,“North”,””,“北”,“Kanji: きた”,“Kita”,””
Directions and Locations,””,””,“Right”,””,“右”,“Kanji: みぎ”,“Migi”,””
Directions and Locations,””,””,“Left”,””,“左”,“Kanji: ひだり”,“Hidari”,””
Directions and Locations,””,””,“Front”,””,“前”,“Kanji: まえ”,“Mae”,””
Directions and Locations,””,””,“Behind”,””,“後ろ”,“Kanji: うしろ”,“Ushiro”,””
Directions and Locations,””,””,“Inside”,””,“中”,“Kanji: なか”,“Naka”,””
Directions and Locations,””,””,“Outside”,””,“外”,“Kanji: そと”,“Soto”,””
Basic Verbs,“Essential action verbs for beginner conversations.”,“0 – Vocab”,“Go”,””,“行く”,“Verb: iku”,“Iku”,””
Basic Verbs,””,””,“Come”,””,“来る”,“Verb: kuru”,“Kuru”,””
Basic Verbs,””,””,“See”,””,“見る”,“Verb: miru”,“Miru”,””
Basic Verbs,””,””,“Eat”,””,“食べる”,“Verb: taberu”,“Taberu”,””
Basic Verbs,””,””,“Drink”,””,“飲む”,“Verb: nomu”,“Nomu”,””
Basic Verbs,””,””,“Buy”,””,“買う”,“Verb: kau”,“Kau”,””
Basic Verbs,””,””,“Read”,””,“読む”,“Verb: yomu”,“Yomu”,””
Basic Verbs,””,””,“Write”,””,“書く”,“Verb: kaku”,“Kaku”,””
Basic Verbs,””,””,“Speak”,””,“話す”,“Verb: hanasu”,“Hanasu”,””
Basic Verbs,””,””,“Listen”,””,“聞く”,“Verb: kiku”,“Kiku”,””
Basic Verbs,””,””,“Walk”,””,“歩く”,“Verb: aruku”,“Aruku”,””
Basic Verbs,””,””,“Run”,””,“走る”,“Verb: hashiru”,“Hashiru”,””
Basic Verbs,””,””,“Sleep”,””,“寝る”,“Verb: neru”,“Neru”,””
Basic Verbs,””,””,“Wake up”,””,“起きる”,“Verb: okiru”,“Okiru”,””
Basic Verbs,””,””,“Do”,””,“する”,“Verb: suru”,“Suru”,””
Basic Verbs,””,””,“Have”,””,“ある / いる”,“Existence verbs”,“Aru / Iru”,””
Basic Verbs,””,””,“Like”,””,“好き”,“Adjective as verb”,“Suki”,””
Basic Verbs,””,””,“Want”,””,“欲しい”,“Verb: hoshii”,“Hoshii”,””
Basic Verbs,””,””,“Know”,””,“知る”,“Verb: shiru”,“Shiru”,””
Basic Verbs,””,””,“Understand”,””,“わかる”,“Verb: wakaru”,“Wakaru”,””
Basic Verbs,””,””,“Open”,””,“開ける”,“Verb: akeru”,“Akeru”,””
Basic Verbs,””,””,“Close”,””,“閉める”,“Verb: shimeru”,“Shimeru”,””
Basic Verbs,””,””,“Wash”,””,“洗う”,“Verb: arau”,“Arau”,””
Basic Verbs,””,””,“Enter”,””,“入る”,“Verb: hairu”,“Hairu”,””
Basic Verbs,””,””,“Exit”,””,“出る”,“Verb: deru”,“Deru”,””
Basic Verbs,””,””,“Meet”,””,“会う”,“Verb: au”,“Au”,””
Basic Verbs,””,””,“Play”,””,“遊ぶ”,“Verb: asobu”,“Asobu”,””
Basic Verbs,””,””,“Study”,””,“勉強する”,“Verb: benkyō suru”,“Benkyō suru”,””
Basic Verbs,””,””,“Work”,””,“働く”,“Verb: hataraku”,“Hataraku”,””
Basic Verbs,””,””,“Live”,””,“住む”,“Verb: sumu”,“Sumu”,””
Basic Verbs,””,””,“Die”,””,“死ぬ”,“Verb: shinu”,“Shinu”,””
Basic Adjectives,“Basic descriptive adjectives for everyday use.”,“0 – Vocab”,“Big”,””,“大きい”,“い-adjective”,“Ōkii”,””
Basic Adjectives,””,””,“Small”,””,“小さい”,“い-adjective”,“Chiisai”,””
Basic Adjectives,””,””,“Hot (temperature)”,””,“熱い”,“い-adjective”,“Atsui”,””
Basic Adjectives,””,””,“Cold (temperature)”,””,“寒い”,“い-adjective”,“Samui”,””
Basic Adjectives,””,””,“Warm”,””,“暖かい”,“い-adjective”,“Atatakai”,””
Basic Adjectives,””,””,“New”,””,“新しい”,“い-adjective”,“Atarashii”,””
Basic Adjectives,””,””,“Old (not person)”,””,“古い”,“い-adjective”,“Furui”,””
Basic Adjectives,””,””,“Good”,””,“いい / 良い”,“い-adjective”,“Ii / Yoi”,””
Basic Adjectives,””,””,“Bad”,””,“悪い”,“い-adjective”,“Warui”,””
Basic Adjectives,””,””,“High / Expensive”,””,“高い”,“い-adjective”,“Takai”,””
Basic Adjectives,””,””,“Cheap”,””,“安い”,“い-adjective”,“Yasui”,””
Basic Adjectives,””,””,“Easy”,””,“簡単”,“な-adjective”,“Kantan”,””
Basic Adjectives,””,””,“Difficult”,””,“難しい”,“い-adjective”,“Muzukashii”,””
Basic Adjectives,””,””,“Beautiful / Pretty”,””,“きれい”,“な-adjective”,“Kirei”,””
Basic Adjectives,””,””,“Dirty”,””,“汚い”,“い-adjective”,“Kitanai”,””
Basic Adjectives,””,””,“Bright”,””,“明るい”,“い-adjective”,“Akarui”,””
Basic Adjectives,””,””,“Dark”,””,“暗い”,“い-adjective”,“Kurai”,””
Basic Adjectives,””,””,“Quiet”,””,“静か”,“な-adjective”,“Shizuka”,””
Basic Adjectives,””,””,“Noisy”,””,“うるさい”,“い-adjective”,“Urusai”,””
Basic Adjectives,””,””,“Interesting”,””,“面白い”,“い-adjective”,“Omoshiroi”,””
Basic Adjectives,””,””,“Boring”,””,“退屈”,“な-adjective”,“Taikutsu”,””
JLPT N5 Kanji,“Basic kanji characters required for JLPT N5, with meanings and readings.”,“3 – Script”,“Day / Sun”,””,“日”,“On: nichi, Kun: hi”,“Nichi, Hi”,””
JLPT N5 Kanji,””,””,“One”,””,“一”,“On: ichi, Kun: hito(tsu)”,“Ichi, Hito(tsu)”,””
JLPT N5 Kanji,””,””,“Country”,””,“国”,“On: koku, Kun: kuni”,“Koku, Kuni”,””
JLPT N5 Kanji,””,””,“Person”,””,“人”,“On: jin/nin, Kun: hito”,“Jin/Nin, Hito”,””
JLPT N5 Kanji,””,””,“Year”,””,“年”,“On: nen, Kun: toshi”,“Nen, Toshi”,””
JLPT N5 Kanji,””,””,“Big”,””,“大”,“On: dai/tai, Kun: ō(kii)”,“Dai/Tai, Ōkii”,””
JLPT N5 Kanji,””,””,“Ten”,””,“十”,“On: jū/tō, Kun: tō/to”,“Jū/Tō, Tō/To”,””
JLPT N5 Kanji,””,””,“Two”,””,“二”,“On: ni/ji, Kun: futa(tsu)”,“Ni/Ji, Futa(tsu)”,””
JLPT N5 Kanji,””,””,“Book”,””,“本”,“On: hon, Kun: moto”,“Hon, Moto”,””
JLPT N5 Kanji,””,””,“Middle / Inside”,””,“中”,“On: chū, Kun: naka/uchi/ataru”,“Chū, Naka/Uchi/Ataru”,””
JLPT N5 Kanji,””,””,“Long”,””,“長”,“On: chō, Kun: naga(i)/osa”,“Chō, Nagai/Osa”,””
JLPT N5 Kanji,””,””,“Exit / Leave”,””,“出”,“On: shutsu/sui, Kun: de(ru)/da(su)/i(deru)”,“Shutsu/Sui, Deru/Dasu/Ideru”,””
JLPT N5 Kanji,””,””,“Three”,””,“三”,“On: san, Kun: mi(tsu)”,“San, Mi(tsu)”,””
JLPT N5 Kanji,””,””,“Time / Hour”,””,“時”,“On: ji, Kun: toki/doki”,“Ji, Toki/Doki”,””
JLPT N5 Kanji,””,””,“Go / Row”,””,“行”,“On: kō/gyō/an, Kun: i(ku)/yu(ku)/okona(u)”,“Kō/Gyō/An, Iku/Yuku/Okonau”,””
JLPT N5 Kanji,””,””,“See / Look”,””,“見”,“On: ken, Kun: mi(ru)/mi(seru)”,“Ken, Miru/Miseru”,””
JLPT N5 Kanji,””,””,“Month / Moon”,””,“月”,“On: getsu/gatsu, Kun: tsuki”,“Getsu/Gatsu, Tsuki”,””
JLPT N5 Kanji,””,””,“Minute / Part / Understand”,””,“分”,“On: bun/fun/bu, Kun: wa(keru)”,“Bun/Fun/Bu, Wakeru”,””
JLPT N5 Kanji,””,””,“After / Behind”,””,“後”,“On: go/kō, Kun: nochi/ushiro/ato”,“Go/Kō, Nochi/Ushiro/Ato”,””
JLPT N5 Kanji,””,””,“Before / Front”,””,“前”,“On: zen, Kun: mae”,“Zen, Mae”,””
JLPT N5 Kanji,””,””,“Life / Birth”,””,“生”,“On: sei/shō, Kun: i(kiru)/u(mu)/o(u)/ha(eru)/nama”,“Sei/Shō, Ikiru/Umu/Ou/Haeru/Nama”,””
JLPT N5 Kanji,””,””,“Five”,””,“五”,“On: go, Kun: itsu(tsu)”,“Go, Itsu(tsu)”,””
JLPT N5 Kanji,””,””,“Interval / Space”,””,“間”,“On: kan/ken, Kun: aida/ma/ai”,“Kan/Ken, Aida/Ma/Ai”,””
JLPT N5 Kanji,””,””,“Above / Up”,””,“上”,“On: jō/shō/shan, Kun: ue/uwa/kami/a(geru)/nobo(ru)/tatematsu(ru)”,“Jō/Shō/Shan, Ue/Uwa/Kami/Ageru/Noboru/Tatematsuru”,””
JLPT N5 Kanji,””,””,“East”,””,“東”,“On: tō, Kun: higashi”,“Tō, Higashi”,””
JLPT N5 Kanji,””,””,“Four”,””,“四”,“On: shi, Kun: yo(tsu)/yon”,“Shi, Yo(tsu)/Yon”,””
JLPT N5 Kanji,””,””,“Now”,””,“今”,“On: kon/kin, Kun: ima”,“Kon/Kin, Ima”,””
JLPT N5 Kanji,””,””,“Gold / Money”,””,“金”,“On: kin/kon/gon, Kun: kane/kana/gane”,“Kin/Kon/Gon, Kane/Kana/Gane”,””
JLPT N5 Kanji,””,””,“Nine”,””,“九”,“On: kyū/ku, Kun: kokono(tsu)”,“Kyū/Ku, Kokono(tsu)”,””
JLPT N5 Kanji,””,””,“Enter”,””,“入”,“On: nyū, Kun: i(ru)/hai(ru)”,“Nyū, Iru/Hairu”,””
JLPT N5 Kanji,””,””,“Study / Learning”,””,“学”,“On: gaku, Kun: mana(bu)”,“Gaku, Manabu”,””
JLPT N5 Kanji,””,””,“High / Tall”,””,“高”,“On: kō, Kun: taka(i)”,“Kō, Takai”,””
JLPT N5 Kanji,””,””,“Circle / Yen”,””,“円”,“On: en, Kun: maru(i)”,“En, Marui”,””
JLPT N5 Kanji,””,””,“Child”,””,“子”,“On: shi/su/tsu, Kun: ko/ne”,“Shi/Su/Tsu, Ko/Ne”,””
JLPT N5 Kanji,””,””,“Outside”,””,“外”,“On: gai/ge, Kun: soto/hoka/hazu-/to-”,“Gai/Ge, Soto/Hoka/Hazu-/To-”,””
JLPT N5 Kanji,””,””,“Eight”,””,“八”,“On: hachi, Kun: ya(tsu)/you”,“Hachi, Ya(tsu)/You”,””
JLPT N5 Kanji,””,””,“Six”,””,“六”,“On: roku, Kun: mu(tsu)/mui”,“Roku, Mu(tsu)/Mui”,””
JLPT N5 Kanji,””,””,“Below / Down”,””,“下”,“On: ka/ge, Kun: shita/shimo/moto/sa(geru)/kuda(ru)/o(rosu)”,“Ka/Ge, Shita/Shimo/Moto/Sageru/Kudaru/Orosu”,””
JLPT N5 Kanji,””,””,“Come”,””,“来”,“On: rai/tai, Kun: kuru/kitaru/ki/ko”,“Rai/Tai, Kuru/Kitaru/Ki/Ko”,””
JLPT N5 Kanji,””,””,“Spirit / Air”,””,“気”,“On: ki/ke/iki, Kun: -”,“Ki/Ke/Iki”,””
JLPT N5 Kanji,””,””,“Small”,””,“小”,“On: shō, Kun: chii(sai)/ko-/o-/sa-”,“Shō, Chiisai/Ko-/O-/Sa-”,””
JLPT N5 Kanji,””,””,“Seven”,””,“七”,“On: shichi, Kun: nana(tsu)/nano”,“Shichi, Nana(tsu)/Nano”,””
JLPT N5 Kanji,””,””,“Mountain”,””,“山”,“On: san/sen, Kun: yama”,“San/Sen, Yama”,””
JLPT N5 Kanji,””,””,“Talk / Story”,””,“話”,“On: wa, Kun: hana(su)/hanashi”,“Wa, Hanasu/Hanashi”,””
JLPT N5 Kanji,””,””,“Woman”,””,“女”,“On: jo, Kun: onna/me”,“Jo, Onna/Me”,””
JLPT N5 Kanji,””,””,“North”,””,“北”,“On: hoku, Kun: kita”,“Hoku, Kita”,””
JLPT N5 Kanji,””,””,“Noon”,””,“午”,“On: go, Kun: uma”,“Go, Uma”,””
JLPT N5 Kanji,””,””,“Hundred”,””,“百”,“On: hyaku/byaku, Kun: momo”,“Hyaku/Byaku, Momo”,””
JLPT N5 Kanji,””,””,“Write”,””,“書”,“On: sho, Kun: kaku”,“Sho, Kaku”,””
JLPT N5 Kanji,””,””,“Before / Tip”,””,“先”,“On: sen, Kun: saki/ma(zu)”,“Sen, Saki/Mazu”,””
Basic Grammar Phrases,“Simple phrases using basic N5 grammar structures.”,“2 – Phrases”,“I am…”,””,”…です”,“Copula for statements”,”… desu”,””
Basic Grammar Phrases,””,””,“This is…”,””,“これは…です”,“Introducing objects”,“Kore wa … desu”,””
Basic Grammar Phrases,””,””,“That is… (near you)”,””,“それは…です”,“Introducing objects”,“Sore wa … desu”,””
Basic Grammar Phrases,””,””,“That is… (over there)”,””,“あれは…です”,“Introducing objects”,“Are wa … desu”,””
Basic Grammar Phrases,””,””,“There is… (living)”,””,”…がいます”,“Existence for animate”,”… ga imasu”,””
Basic Grammar Phrases,””,””,“There is… (non-living)”,””,”…があります”,“Existence for inanimate”,”… ga arimasu”,””
Basic Grammar Phrases,””,””,“I like…”,””,”…が好きです”,“Expressing preference”,”… ga suki desu”,””
Basic Grammar Phrases,””,””,“I want to…”,””,”…たいです”,“Desire”,”… tai desu”,””
Basic Grammar Phrases,””,””,“Please…”,””,”…てください”,“Request”,”… te kudasai”,””
Basic Grammar Phrases,””,””,“Let’s…”,””,”…ましょう”,“Suggestion”,”… mashō”,””
Basic Grammar Phrases,””,””,”… and…”,””,”…と…”,“Connecting nouns”,”… to …”,””
Basic Grammar Phrases,””,””,”… or…”,””,”…か…”,“Choice”,”… ka …”,””
Basic Grammar Phrases,””,””,“Because…”,””,”…からです”,“Reason”,”… kara desu”,””
Basic Grammar Phrases,””,””,“From… to…”,””,”…から…まで”,“Range”,”… kara … made”,””
Basic Grammar Phrases,””,””,“About…”,””,”…くらい”,“Approximation”,”… kurai”,””
Basic Grammar Phrases,””,””,“Still…”,””,“まだ…”,“Not yet completed”,“Mada …”,””
Basic Grammar Phrases,””,””,“Already…”,””,“もう…”,“Completed”,“Mō …”,””
Basic Grammar Phrases,””,””,“Also…”,””,”…も”,“Inclusion”,”… mo”,””
Basic Grammar Phrases,””,””,“Only…”,””,”…だけ”,“Limitation”,”… dake”,””
Basic Grammar Phrases,””,””,“Probably…”,””,”…でしょう”,“Uncertainty”,”… deshō”,””
Everyday Useful Phrases,“Additional beginner-friendly phrases for daily life not strictly in official JLPT N5 lists but practical.”,“2 – Phrases”,“Long time no see”,””,“お久しぶりですね”,“Reunion greeting”,“Ohisashiburi desu ne”,””
Everyday Useful Phrases,””,””,“Where are you from?”,””,“どこから来ましたか”,“Origin question”,“Doko kara kimashita ka”,””
Everyday Useful Phrases,””,””,“I’m from…”,””,“私は…から来ました”,“Origin response”,“Watashi wa … kara kimashita”,””
Everyday Useful Phrases,””,””,“Really? / I see”,””,“そうですか”,“Response to info”,“Sō desu ka”,””
Everyday Useful Phrases,””,””,“I’m sorry (more formal)”,””,“ごめんなさい”,“Deeper apology”,“Gomen nasai”,””
Everyday Useful Phrases,””,””,“Let’s eat”,””,“いただきます”,“Before meal”,“Itadakimasu”,””
Everyday Useful Phrases,””,””,“That was delicious”,””,“ごちそうさまでした”,“After meal”,“Gochisōsama deshita”,””
Everyday Useful Phrases,””,””,“I don’t understand”,””,“わかりません”,“Comprehension issue”,“Wakarimasen”,””
Everyday Useful Phrases,””,””,“I don’t know”,””,“知りません”,“Lack of knowledge”,“Shirimasen”,””
Everyday Useful Phrases,””,””,“I forgot”,””,“忘れました”,“Memory lapse”,“Wasuremashita”,””
Everyday Useful Phrases,””,””,“Please speak slower”,””,“もっとゆっくりお願いします”,“Request for clarity”,“Motto yukkuri onegaishimasu”,””
Everyday Useful Phrases,””,””,“One more time, please”,””,“もう一度お願いします”,“Repeat request”,“Mō ichido onegaishimasu”,””
Everyday Useful Phrases,””,””,“I’m not fluent in Japanese”,””,“日本語が上手ではありません”,“Language level”,“Nihongo ga jōzu de wa arimasen”,””
Everyday Useful Phrases,””,””,“What does … mean?”,””,”…の意味は何ですか”,“Definition question”,”… no imi wa nan desu ka”,””
Everyday Useful Phrases,””,””,“Can you help me?”,””,“手伝ってくれますか”,“Assistance request”,“Tetsudatte kuremasu ka”,””
Everyday Useful Phrases,””,””,“When is it?”,””,“いつですか”,“Time question”,“Itsu desu ka”,””
Everyday Useful Phrases,””,””,“Why?”,””,“どうして”,“Reason question”,“Dōshite”,””
Everyday Useful Phrases,””,””,“Which one?”,””,“どちらですか”,“Choice question”,“Dochira desu ka”,””
Everyday Useful Phrases,””,””,“How old are you?”,””,“何歳ですか”,“Age question”,“Nansai desu ka”,””
Everyday Useful Phrases,””,””,“Where do you live?”,””,“どこに住んでいますか”,“Residence question”,“Doko ni sunde imasu ka”,””
Everyday Useful Phrases,””,””,“Do you have siblings?”,””,“兄弟姉妹がいますか”,“Family question”,“Kyōdai ga imasu ka”,””
Everyday Useful Phrases,””,””,“How much is it?”,””,“いくらですか”,“Price question”,“Ikura desu ka”,””
Everyday Useful Phrases,””,””,“What is this?”,””,“これは何ですか”,“Object question”,“Kore wa nan desu ka”,””
Everyday Useful Phrases,””,””,“Where is the toilet?”,””,“トイレはどこですか”,“Facility question”,“Toire wa doko desu ka”,””
Everyday Useful Phrases,””,””,“Not yet”,””,“まだ”,“Incomplete”,“Mada”,””
Everyday Useful Phrases,””,””,“Maybe”,””,“かもしれません”,“Uncertainty”,“Kamoshiremasen”,””
Everyday Useful Phrases,””,””,“Sometimes”,””,“時々”,“Frequency”,“Tokidoki”,””
Everyday Useful Phrases,””,””,“Never”,””,“全然”,“Negation of frequency”,“Zenzen”,””
Everyday Useful Phrases,””,””,“Always”,””,“いつも”,“Frequency”,“Itsumo”,””
Everyday Useful Phrases,””,””,“Usually”,””,“たいてい”,“Frequency”,“Taitei”,””
Everyday Useful Phrases,””,””,“That’s okay”,””,“大丈夫です”,“Reassurance”,“Daijōbu desu”,””
