Topic Name (Required),Topic Description (Optional),Topic Type (Optional),Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
Daily Activities & Actions,,,買う,物を購入する。,to buy,Verb meaning to purchase,kau,
Daily Activities & Actions,,,売る,物を販売する。,to sell,Verb meaning to sell,uru,
Daily Activities & Actions,,,歩く,足で移動する。,to walk,To walk on foot,aruku,
Daily Activities & Actions,,,走る,走って移動する。,to run,To run,hashiru,
Daily Activities & Actions,,,遊ぶ,楽しんで時間を過ごす。,to play,To enjoy oneself,asobu,
Daily Activities & Actions,,,働く,仕事をする。,to work,To do work,hataraku,
Daily Activities & Actions,,,勉強する,学習する。,to study,To study or learn,benkyou suru,
Daily Activities & Actions,,,起きる,朝起床する。,to get up / to wake up,To wake up from sleep,okiru,
Daily Activities & Actions,,,寝る,眠る。,to sleep / to go to bed,To go to sleep,neru,
Daily Activities & Actions,,,教える,知識を伝える。,to teach / to tell,Verb meaning to teach,oshieru,
Daily Activities & Actions,,,覚える,記憶する。,to memorize / to remember,To learn by heart,oboeru,
Daily Activities & Actions,,,泳ぐ,水中を移動する。,to swim,To swim,oyogu,
Daily Activities & Actions,,,開ける,扉などを開く。,to open (something),Transitive verb “open”,akeru,
Daily Activities & Actions,,,開く,開く状態になる。,to open (intransitive),Intransitive verb “open”,aku,
Daily Activities & Actions,,,閉める,扉などを閉じる。,to close (something),Transitive verb “close”,shimeru,
Daily Activities & Actions,,,休む,休憩をとる。,to rest / to take a break,Also means to be absent,yasumu,
Locations & Directions,"Words for directions, locations, and positions",0,左,方向を示す。,left,Direction opposite of right,hidari,
Locations & Directions,,,右,方向を示す。,right,Direction opposite of left,migi,
Locations & Directions,,,前,前方を指す。,front,The front side,mae,
Locations & Directions,,,後ろ,背後を指す。,back / behind,The back side,ushiro,
Locations & Directions,,,上,上側。,up / above,Direction upward,ue,
Locations & Directions,,,下,下側。,down / below,Direction downward,shita,
Locations & Directions,,,中,内部を指す。,inside / in / among,Inside something,naka,
Locations & Directions,,,外,外側を指す。,outside,"Outside, exterior",soto,
Locations & Directions,,,近い,距離が短い。,near / close,Close in distance,chikai,
Locations & Directions,,,近く,近い場所。,vicinity / nearby,Nearby area,chikaku,
Locations & Directions,,,遠い,距離が長い。,far / distant,Far in distance,tooi,
Locations & Directions,,,東,方角。,east,Cardinal direction east,higashi,
Locations & Directions,,,西,方角。,west,Cardinal direction west,nishi,
Locations & Directions,,,南,方角。,south,Cardinal direction south,minami,
Locations & Directions,,,北,方角。,north,Cardinal direction north,kita,
Locations & Directions,,,ここ,話し手の位置を指す。,here,Location of the speaker,koko,
Locations & Directions,,,そこ,聞き手の位置を指す。,there,Near the listener,soko,
Locations & Directions,,,あそこ,離れた場所を指す。,over there,Far from both speaker and listener,asoko,
Locations & Directions,,,学校,学ぶ場所。,school,Place for study,gakkou,
Locations & Directions,,,家,住む場所。,house / home,Residence,ie,
Time & Dates,"Days of the week, time-related words, and date vocabulary",0,日曜日,週の最後の日。,Sunday,Day of the week,nichiyoubi,
Time & Dates,,,月曜日,週の始まり。,Monday,Day of the week,getsuyoubi,
Time & Dates,,,火曜日,週の二日目。,Tuesday,Day of the week,kayoubi,
Time & Dates,,,水曜日,週の三日目。,Wednesday,Day of the week,suiyoubi,
Time & Dates,,,木曜日,週の四日目。,Thursday,Day of the week,mokuyoubi,
Time & Dates,,,金曜日,週の五日目。,Friday,Day of the week,kinyoubi,
Time & Dates,,,土曜日,週の六日目。,Saturday,Day of the week,doyoubi,
Time & Dates,,,今日,現在の日。,today,This day,kyou,
Time & Dates,,,昨日,一日前の日。,yesterday,The day before today,kinou,
Time & Dates,,,一昨日,二日前の日。,the day before yesterday,Two days ago,ototoi,
Time & Dates,,,明日,翌日。,tomorrow,The next day,ashita,
Time & Dates,,,明後日,あさって。,the day after tomorrow,Two days from now,asatte,
Time & Dates,,,今週,今の週。,this week,The current week,konshuu,
Time & Dates,,,来週,次の週。,next week,The week after this one,raishuu,
Time & Dates,,,先週,前の週。,last week,The week before this one,senshuu,
Time & Dates,,,午前,正午より前。,morning / AM,Time before noon,gozen,
Time & Dates,,,午後,正午より後。,afternoon / PM,Time after noon,gogo,
Time & Dates,,,時間,時の単位。,time / hour,General term for time,jikan,
Time & Dates,,,分,60分の1時間。,minute,Unit of minute,fun / pun,
Time & Dates,,,時,時間の単位。,o’clock / time,Counter for hours,ji,
Basic Adjectives & Colors,Common adjectives and color words,0,大きい,サイズが大きい。,big / large,Describing size,ookii,
Basic Adjectives & Colors,,,小さい,サイズが小さい。,small / little,Describing size,chiisai,
Basic Adjectives & Colors,,,高い,高さや値段が高い。,tall / high / expensive,Describes height or cost,takai,
Basic Adjectives & Colors,,,安い,値段が安い。,cheap / inexpensive,Describing low price,yasui,
Basic Adjectives & Colors,,,新しい,新しく作られた。,new,Opposite of old,atarashii,
Basic Adjectives & Colors,,,古い,長い時間経った。,old,Opposite of new,furui,
Basic Adjectives & Colors,,,暑い,気温が高い。,hot (weather),Warm weather,atsui,
Basic Adjectives & Colors,,,熱い,物が高温。,hot (object),Hot to the touch,atsui,
Basic Adjectives & Colors,,,寒い,気温が低い。,cold (weather),Cold climate,samui,
Basic Adjectives & Colors,,,冷たい,触ると冷たい。,cold (object),Cold to the touch,tsumetai,
Basic Adjectives & Colors,,,暖かい,温かい。,warm,Describes mild warmth,atatakai,
Basic Adjectives & Colors,,,涼しい,心地よく冷たい。,cool (weather),Pleasantly cool,suzushii,
Basic Adjectives & Colors,,,明るい,光が多い。,bright,Opposite of dark,akarui,
Basic Adjectives & Colors,,,暗い,光が少ない。,dark,Opposite of bright,kurai,
Basic Adjectives & Colors,,,長い,長さがある。,long,Describes length,nagai,
Basic Adjectives & Colors,,,短い,長さがない。,short,Describes short length,mijikai,
Basic Adjectives & Colors,,,赤い,赤色の。,red,Color red,akai,
Basic Adjectives & Colors,,,青い,青色の。,blue,Color blue,aoi,
Basic Adjectives & Colors,,,白い,白色の。,white,Color white,shiroi,
Basic Adjectives & Colors,,,黒い,黒色の。,black,Color black,kuroi,
Basic Adjectives & Colors,,,黄色い,黄色の。,yellow,Color yellow,kiiroi,
Basic Adjectives & Colors,,,緑,緑色の。,green,Color green,midori,
Beginner Extra Words,Beginner-friendly words and phrases not part of official JLPT N5 but useful in daily life,4,スマートフォン,携帯電話。,smartphone,Mobile phone with smart features,sumaatofon,
Beginner Extra Words,,,コンピューター,計算機。,computer,General term for computer,konpyuutaa,
Beginner Extra Words,,,メール,電子メール。,email,Electronic mail,meeru,
Beginner Extra Words,,,インターネット,ネットワーク。,internet,Global network,intaanetto,
Beginner Extra Words,,,トイレ,お手洗い。,toilet / bathroom,Restroom,toire,
Beginner Extra Words,,,レストラン,食事を提供する店。,restaurant,Place to eat out,resutoran,
Beginner Extra Words,,,バス,公共交通。,bus,Public bus,basu,
Beginner Extra Words,,,タクシー,有料の乗り物。,taxi,Paid car service,takushii,
Beginner Extra Words,,,病院,医療機関。,hospital,Medical facility,byouin,
Beginner Extra Words,,,銀行,金融機関。,bank,Financial institution,ginkou,
Beginner Extra Words,,,スーパー,大型食品店。,supermarket,Large grocery store,suupaa,
Beginner Extra Words,,,パソコン,個人用コンピューター。,personal computer,PC or laptop,pasokon,
Beginner Extra Words,,,ワイファイ,無線通信。,Wi‑Fi,Wireless internet,waifai,
Beginner Extra Words,,,チケット,入場券。,ticket,Ticket for events or travel,chiketto,
Beginner Extra Words,,,ホテル,宿泊施設。,hotel,Place to stay,hoteru,
Beginner Extra Words,,,カフェ,軽食や飲み物を提供。,café,Coffee shop or cafe,kafe,
Beginner Extra Words,,,ペン,筆記用具。,pen,Writing instrument,pen,
Beginner Extra Words,,,ノート,書き物用の冊子。,notebook,Notebook for writing,nooto,
Beginner Extra Words,,,エレベーター,昇降機。,elevator,Lift in a building,erebeetaa,
Beginner Extra Words,,,エアコン,空調機。,air conditioner,AC unit,eakon,
